name,rating,review_count,latitude,longitude,postal_code,menu_data_updated,categories
Stax Burger Bar,4.0,156,34.033371,-84.3398895,30076,,"[Category(name=u'Burger', alias=u'burgers')]"
Lazaro's Cuban Cuisine,4.0,88,34.031967,-84.362129,30075,,"[Category(name=u'Restaurant Cubain', alias=u'cuban')]"
VUU Asian Bistro & Sushi Bar,4.0,95,34.0603275726969,-84.3876210695209,30075,1460109926,"[Category(name=u'Restaurant Asiatique', alias=u'asianfusion'), Category(name=u'Sushi', alias=u'sushi'), Category(name=u'Tha\xef', alias=u'thai')]"
Tacos Linda Vista,4.5,50,34.0375891327858,-84.3432862311602,30075,,"[Category(name=u'Restaurant Mexicain', alias=u'mexican')]"
Karachi Broast & Grill,4.0,45,34.046906,-84.36068,30075,,"[Category(name=u'Restaurant Pakistanais', alias=u'pakistani')]"
Tokyo Bay Japanese Buffet,4.0,225,34.02628,-84.33381,30076,,"[Category(name=u'Restaurant Japonais', alias=u'japanese'), Category(name=u'Sushi', alias=u'sushi'), Category(name=u'Buffet', alias=u'buffets')]"
San Pancho,4.0,52,34.034217,-84.345573,30075,,"[Category(name=u'Restaurant Mexicain', alias=u'mexican')]"
Mr Taco,4.0,137,34.0282059,-84.3356171,30076,,"[Category(name=u'Restaurant Mexicain', alias=u'mexican')]"
Oak Street Cafe,4.0,103,34.019638,-84.3602207,30075,1460526122,"[Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican')]"
The Mill Kitchen and Bar,3.5,106,34.014641,-84.363971,30075,1442114035,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Cuisine du sud des \xc9tats-Unis', alias=u'southern')]"
Buzy Burrito Mexican Restaurant,4.0,75,34.0403326,-84.3425153,30076,,"[Category(name=u'Restaurant Mexicain', alias=u'mexican')]"
Aiyara Thai Cuisine & Grill,4.5,33,34.0333213806152,-84.3399200439453,30076,1459460369,"[Category(name=u'Tha\xef', alias=u'thai')]"
Nosh Table & Tap,4.0,45,34.0580942,-84.3828387,30075,1442229263,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Petit d\xe9jeuner & brunch', alias=u'breakfast_brunch'), Category(name=u'Pub gastronomique', alias=u'gastropubs')]"
Ricky's Fish Camp,3.5,43,34.0168952941895,-84.3622970581055,30075,,"[Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican'), Category(name=u'Restaurant de fruits de mer', alias=u'seafood')]"
Zest Sushi and Tapas,4.0,147,34.024666,-84.361252,30075,,"[Category(name=u'Sushi', alias=u'sushi'), Category(name=u'Assiettes et planches', alias=u'tapasmallplates'), Category(name=u'Restaurant de fruits de mer', alias=u'seafood')]"
Lucia's Italian Restaurant,3.5,66,34.0635776394846,-84.4235041231452,30075,,"[Category(name=u'Restaurant Italien', alias=u'italian')]"
1920 Tavern,3.5,106,34.0243664,-84.3616192,30075,1442117007,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]"
Rhea's Take Out Foods,4.5,28,34.0315856,-84.3615084,30075,1442374402,"[Category(name=u'Fast Food', alias=u'hotdogs')]"
The Counter Roswell,3.5,234,34.043103,-84.3390567,30076,1442013904,"[Category(name=u'Burger', alias=u'burgers')]"
J Buffalo Wings,4.0,38,34.0424274609229,-84.3398308753967,30076,,"[Category(name=u'Ailes de poulet', alias=u'chicken_wings'), Category(name=u'Steaks au fromage', alias=u'cheesesteaks'), Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican')]"
Grand Champion BBQ,4.0,105,34.0282,-84.42179,30075,,"[Category(name=u'Viandes et Barbecue', alias=u'bbq')]"
Le Bistro,4.5,17,34.0246323,-84.3614935,30075,,"[Category(name=u'Restaurant Fran\xe7ais', alias=u'french'), Category(name=u'Sandwich', alias=u'sandwiches'), Category(name=u'Dessert', alias=u'desserts')]"
Thumbs Up Diner,3.5,137,34.0298714651761,-84.3556526772947,30075,,"[Category(name=u'Diner Am\xe9ricain', alias=u'diners')]"
Peachtree Diner,3.5,93,34.0269203,-84.33461,30076,1442001161,"[Category(name=u'Restaurant de fruits de mer', alias=u'seafood'), Category(name=u'Restaurant Grill', alias=u'steak'), Category(name=u'Diner Am\xe9ricain', alias=u'diners')]"
Rojo Cocina Mexicana & Cantina,4.0,57,34.0613594,-84.3852921,30075,,"[Category(name=u'Restaurant Mexicain', alias=u'mexican'), Category(name=u'Bar des sports', alias=u'sportsbars')]"
Rio Balsas Taqueria,5.0,32,34.0684558386559,-84.2992600797873,30009,,"[Category(name=u'Restaurant Mexicain', alias=u'mexican')]"
Pho & Com Asian Grill,3.5,117,34.06212,-84.38835,30075,,"[Category(name=u'Restaurant Vietnamien', alias=u'vietnamese'), Category(name=u'Restaurant du Szechuan', alias=u'szechuan')]"
Bistro VG,4.0,108,34.048753,-84.36324,30075,1442374402,"[Category(name=u'Restaurant Fran\xe7ais', alias=u'french'), Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]"
Public House,4.0,19,34.0152378,-84.3627451,30075,,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]"
Tafa's Restaurant,4.0,10,34.0829,-84.41387,30075,1459568671,"[Category(name=u'Restaurant M\xe9diterran\xe9en', alias=u'mediterranean')]"
Rhea's 3,4.0,40,34.0589430467427,-84.3811814571479,30075,,"[Category(name=u'Burger', alias=u'burgers')]"
Ceviche Taqueria & Margarita Bar,3.5,180,34.024826,-84.361252,30075,1441988003,"[Category(name=u'Restaurant Mexicain', alias=u'mexican')]"
Thai House,4.0,27,34.04765,-84.36223,30075,,"[Category(name=u'Tha\xef', alias=u'thai')]"
Appletree Deli,4.0,18,34.0657196,-84.3203735,30076,,"[Category(name=u'Deli', alias=u'delis'), Category(name=u'Petit d\xe9jeuner & brunch', alias=u'breakfast_brunch')]"
Aqua blue,3.5,110,34.019115447998,-84.3138885498047,30076,1442285515,"[Category(name=u'Restaurant de fruits de mer', alias=u'seafood'), Category(name=u'Sushi', alias=u'sushi')]"
Nagoya Japanese Restaurant,4.5,22,34.0052281,-84.3896746,30075,,"[Category(name=u'Restaurant Japonais', alias=u'japanese'), Category(name=u'Sushi', alias=u'sushi'), Category(name=u'Restaurant Grill', alias=u'steak')]"
Amalfi Ristorante,4.0,91,34.00816,-84.358276,30075,1442035196,"[Category(name=u'Restaurant Italien', alias=u'italian')]"
The Flying Biscuit Cafe,3.5,100,34.0426582,-84.3411661,30076,1442074847,"[Category(name=u'Petit d\xe9jeuner & brunch', alias=u'breakfast_brunch')]"
Cousins Maine Lobster - Atlanta,4.0,32,34.0477457208962,-84.3623177864639,30075,,"[Category(name=u'Restaurant de fruits de mer', alias=u'seafood'), Category(name=u'Food Truck', alias=u'foodtrucks')]"
Tutto Kitchen and Bar,4.0,39,34.024291,-84.360908,30075,1442229855,"[Category(name=u'Restaurant Italien', alias=u'italian'), Category(name=u'Bar \xe0 vins', alias=u'wine_bars'), Category(name=u'Vins, bi\xe8res et spiritueux', alias=u'beer_and_wine')]"
Spiced Right Ribhouse,3.5,130,34.01574,-84.36261,30075,,"[Category(name=u'Viandes et Barbecue', alias=u'bbq'), Category(name=u'Petit d\xe9jeuner & brunch', alias=u'breakfast_brunch')]"
Rasa Sayang,4.0,103,34.0198402,-84.3201523,30076,,"[Category(name=u'Restaurant Chinois', alias=u'chinese'), Category(name=u'Restaurant Malaysien', alias=u'malaysian')]"
