name,rating,review_count,latitude,longitude,postal_code,menu_data_updated,categories,City,State
BeetleCat,4.0,73,33.7626247,-84.3582753,30307,,"[Category(name=u'Restaurant de fruits de mer', alias=u'seafood'), Category(name=u'Bar', alias=u'bars')]",Atlanta,GA
Wrecking Bar Brewpub,4.0,429,33.762272,-84.349724,30307,1442090045,"[Category(name=u'Pub gastronomique', alias=u'gastropubs'), Category(name=u'Pubs', alias=u'pubs'), Category(name=u'Brasseur', alias=u'breweries')]",Atlanta,GA
The General Muir,4.0,489,33.8011950456603,-84.327230241876,30329,1442113701,"[Category(name=u'Deli', alias=u'delis'), Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican')]",Atlanta,GA
Dish Dive,4.5,64,33.76452,-84.3141799,30317,1460227040,"[Category(name=u'Cuisine du sud des \xc9tats-Unis', alias=u'southern'), Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Cuisine traditionnelle', alias=u'comfortfood')]",Atlanta,GA
Heirloom Market BBQ,4.5,939,33.8986473470416,-84.4471785276031,30339,1442080047,"[Category(name=u'Viandes et Barbecue', alias=u'bbq'), Category(name=u'Dessert', alias=u'desserts'), Category(name=u'Sandwich', alias=u'sandwiches')]",Atlanta,GA
Viva La Vegan,5.0,53,33.7204437255859,-84.4245834350586,30310,1455135464,"[Category(name=u'Restaurant V\xe9g\xe9talien', alias=u'vegan'), Category(name=u'Restaurant V\xe9g\xe9tarien', alias=u'vegetarian')]",Atlanta,GA
Fox Bros. Bar-B-Q,4.0,1905,33.7612031047487,-84.3477916717529,30307,1441987995,"[Category(name=u'Viandes et Barbecue', alias=u'bbq'), Category(name=u'Cuisine du sud des \xc9tats-Unis', alias=u'southern'), Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican')]",Atlanta,GA
Better Half,4.5,129,33.786480127023,-84.3985420837998,30318,1442201453,"[Category(name=u'Cuisine du sud des \xc9tats-Unis', alias=u'southern')]",Atlanta,GA
Press and Grind,4.5,21,33.7817269,-84.3543679,30306,,"[Category(name=u'Caf\xe9 et th\xe9', alias=u'coffee'), Category(name=u'Boulanger & P\xe2tissier', alias=u'bakeries'), Category(name=u'Sans gluten', alias=u'gluten_free')]",Atlanta,GA
Casseroles,5.0,27,33.792179,-84.35231,30306,,"[Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican')]",Atlanta,GA
We Suki Suki,4.5,157,33.7410072237253,-84.3464458733797,30316,1442099164,"[Category(name=u'Restaurant Vietnamien', alias=u'vietnamese')]",Atlanta,GA
Park Bar,4.0,237,33.75811,-84.3929214,30303,,"[Category(name=u'Bar', alias=u'bars'), Category(name=u'Burger', alias=u'burgers')]",Atlanta,GA
Local Three,4.0,437,33.844578,-84.426564,30327,1460078944,"[Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican')]",Atlanta,GA
Alma Cocina,4.0,538,33.7589989,-84.3868179,30303,1460094834,"[Category(name=u'Restaurant Am\xe9rique latine', alias=u'latin')]",Atlanta,GA
Antico Pizza,4.5,2212,33.7845390776959,-84.4059366785736,30318,1442017639,"[Category(name=u'Pizza', alias=u'pizza')]",Atlanta,GA
Marcel,4.5,117,33.78593,-84.4118049,30318,,"[Category(name=u'Restaurant Grill', alias=u'steak')]",Atlanta,GA
Twin Smokers BBQ,4.0,216,33.761585,-84.396484,30313,1448267421,"[Category(name=u'Viandes et Barbecue', alias=u'bbq')]",Atlanta,GA
Bread & Butterfly,4.5,46,33.7623032666451,-84.3578751012683,30307,,"[Category(name=u'Caf\xe9', alias=u'cafes'), Category(name=u'Petit d\xe9jeuner & brunch', alias=u'breakfast_brunch'), Category(name=u'Bar \xe0 vins', alias=u'wine_bars')]",Atlanta,GA
Ticonderoga Club,4.5,41,33.75658,-84.36418,30307,,"[Category(name=u'Bar \xe0 Cocktails', alias=u'cocktailbars'), Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican')]",Atlanta,GA
